"Cycle","Well","RFU","Dilu","Repli","probe","sp","Neg"
3,"B2",7.3452485322332,2,2,"CbeA","Cbe",FALSE
3,"B3",13.7294093690998,2,3,"CbeA","Cbe",FALSE
3,"B4",-5.31537593304984,2,4,"CbeB","Cbe",FALSE
3,"B5",-1.71661242848313,2,5,"CbeB","Cbe",FALSE
3,"B6",7.88564908009812,2,6,"CbeB","Cbe",FALSE
3,"B7",-0.825678961375161,2,7,"Cbp","Fex",FALSE
3,"B8",0.87679121166002,2,8,"Cbp","Fex",FALSE
3,"B9",2.36578788372617,2,9,"Cbp","Fex",FALSE
3,"B10",-0.119623197909277,2,10,"Fex","Fex",FALSE
3,"B11",-4.92520334021174,2,11,"Fex","Fex",FALSE
3,"B12",-0.825918257434751,2,12,"Fex","Fex",FALSE
3,"C1",5.81869779259614,3,1,"CbeA","Cbe",FALSE
3,"C2",-7.35872382768594,3,2,"CbeA","Cbe",FALSE
3,"C3",-7.16316790331166,3,3,"CbeA","Cbe",FALSE
3,"C4",-14.9839323083161,3,4,"CbeB","Cbe",FALSE
3,"C5",8.62994095040449,3,5,"CbeB","Cbe",FALSE
3,"C6",7.96977006066936,3,6,"CbeB","Cbe",FALSE
3,"C7",1.47811836031951,3,7,"Cbp","Fex",FALSE
3,"C8",2.12582819133877,3,8,"Cbp","Fex",FALSE
3,"C9",-3.02034908423275,3,9,"Cbp","Fex",FALSE
3,"C10",-4.65051737307294,3,10,"Fex","Fex",FALSE
3,"C11",6.7364652094393,3,11,"Fex","Fex",FALSE
3,"C12",-21.7327802613454,3,12,"Fex","Fex",FALSE
3,"D1",10.0742887911647,4,1,"CbeA","Cbe",FALSE
3,"D2",9.72790256157077,4,2,"CbeA","Cbe",FALSE
3,"D3",2.02204913858623,4,3,"CbeA","Cbe",FALSE
3,"D4",1.56609861348261,4,4,"CbeB","Cbe",FALSE
3,"D5",-3.9349228961355,4,5,"CbeB","Cbe",FALSE
3,"D6",0.364417694341682,4,6,"CbeB","Cbe",FALSE
3,"D7",-2.35124094692856,4,7,"Cbp","Fex",FALSE
3,"D8",-6.49995488849345,4,8,"Cbp","Fex",FALSE
3,"D9",-1.97204790943169,4,9,"Cbp","Fex",FALSE
3,"D10",0.817731332747826,4,10,"Fex","Fex",FALSE
3,"D11",-16.0751675318797,4,11,"Fex","Fex",FALSE
3,"D12",-4.13764351593181,4,12,"Fex","Fex",FALSE
3,"E1",8.60840518215991,5,1,"CbeA","Cbe",FALSE
3,"E2",0.808397156881256,5,2,"CbeA","Cbe",FALSE
3,"E3",-15.0484724952794,5,3,"CbeA","Cbe",FALSE
3,"E4",-3.55832986787391,5,4,"CbeB","Cbe",FALSE
3,"E5",3.43865323227601,5,5,"CbeB","Cbe",FALSE
3,"E6",0.842543641882912,5,6,"CbeB","Cbe",FALSE
3,"E7",-1.77401449417448,5,7,"Cbp","Fex",FALSE
3,"E8",-2.4875486568958,5,8,"Cbp","Fex",FALSE
3,"E9",-3.1646862214393,5,9,"Cbp","Fex",FALSE
3,"E10",1.73570774698965,5,10,"Fex","Fex",FALSE
3,"E11",9.20557782620745,5,11,"Fex","Fex",FALSE
3,"E12",5.94611998061737,5,12,"Fex","Fex",FALSE
4,"A1",4.00683772852153,1,1,"CbeA","Cbe",FALSE
4,"A2",-3.05360767078946,1,2,"CbeA","Cbe",FALSE
4,"A3",8.31459856037964,1,3,"CbeA","Cbe",FALSE
4,"A4",-2.40865918880991,1,4,"CbeB","Cbe",FALSE
4,"A5",-4.02710370692421,1,5,"CbeB","Cbe",FALSE
4,"A6",-6.28130480614709,1,6,"CbeB","Cbe",FALSE
4,"A7",-0.382061297952532,1,7,"Cbp","Fex",FALSE
4,"A8",-4.11862756134542,1,8,"Cbp","Fex",FALSE
4,"A9",2.289454548094,1,9,"Cbp","Fex",FALSE
4,"A10",-0.868575744197187,1,10,"Fex","Fex",FALSE
4,"A11",-1.05209131974971,1,11,"Fex","Fex",FALSE
4,"A12",-6.61359813462786,1,12,"Fex","Fex",FALSE
4,"B1",1.1800474439824,2,1,"CbeA","Cbe",FALSE
4,"B2",8.90177202269842,2,2,"CbeA","Cbe",FALSE
4,"B3",2.10521145507482,2,3,"CbeA","Cbe",FALSE
4,"B4",0.687443338294543,2,4,"CbeB","Cbe",FALSE
4,"B5",2.5908970972996,2,5,"CbeB","Cbe",FALSE
4,"B6",0.764353709188981,2,6,"CbeB","Cbe",FALSE
4,"B7",5.2492781125593,2,7,"Cbp","Fex",FALSE
4,"B8",-0.692498177986181,2,8,"Cbp","Fex",FALSE
